Real,Predicted
3203.93,3217.047633471489
3176.81,3203.155054998994
3189.05,3172.698567523956
3193.51,3188.173322761059
3201.29,3189.937120437026
3205.11,3194.77236933589
3234.18,3198.965827649832
3256.98,3228.3505418610575
3243.34,3249.1463509678842
3233.36,3233.274945083857
3294.23,3227.2010698521135
3393.42,3291.9348640751837
3378.25,3384.7545308780673
3373.05,3358.11440076828
3364.49,3359.7202635383605
3365.02,3360.926353676319
3336.79,3360.941549450159
3341.83,3331.8947760879996
3329.86,3339.0674411088225
3308.97,3326.6100859200956
3307.09,3304.0605628883836
3307.78,3304.8042273157835
3311.99,3304.6592167520525
3327.79,3306.9061854743954
3301.58,3322.2724167954925
3314.11,3294.2119083666803
3319.68,3309.8820561540124
3342.63,3315.810348260403
3340.82,3335.952041769028
3339.56,3332.9300781428815
3318.04,3332.270758666992
3262.6,3312.7901840418576
3260.33,3258.7663593673706
3238.73,3262.083683223724
3263.12,3238.68573515892
3257.4,3260.3949487328528
3266.64,3251.9982607877255
3291.12,3259.813422641754
3275.67,3285.9173950767517
3220.28,3267.232845067978
3240.75,3213.574187479019
3230.89,3242.253274312019
3244.39,3228.9732182514667
3253.28,3238.387963514328
3293.87,3247.947281420231
3306.56,3287.1017937600614
3300.01,3297.016627361774
3302.65,3289.7720355796814
3305.85,3296.849503340721
3277.88,3301.0242390441895
3321.33,3271.7994772160055
3316.24,3318.811260586977
3318.6,3309.6430972874164
3327.74,3309.7678501987457
3367.58,3322.8432574152944
3367.45,3361.7037466335296
3354.8,3357.6943730592725
3345.7,3345.616380398273
3340.13,3341.423531764746
3336.28,3336.7561596810815
3359.05,3332.2881160974503
3333.35,3354.874482476711
3365.09,3326.066873975992
3354.17,3360.3266787052157
3356.59,3348.2746298819784
3371.12,3349.3137931466104
3353.05,3366.7603885507583
3390.61,3345.9833075636625
3417.22,3385.966036506891
3430.25,3410.4637612342835
3429.87,3419.0860675334934
3429.59,3420.779714882374
3436.53,3422.9683186030384
3417.46,3431.229766726494
3441.11,3411.208451909423
3468.36,3437.0087922644616
3474.73,3462.8678560817243
3488.74,3464.6564765787125
3521.3,3480.2725560033323
3535.08,3514.278948841095
3564.04,3525.4288827085497
3538.0,3554.4797665739056
3565.04,3528.190132212639
3528.95,3559.353468017578
3469.41,3522.9120559978483
3459.15,3463.860695719719
3475.75,3462.2076527071
3470.14,3476.907229077816
3493.7,3464.0416550016403
3409.18,3487.410048365593
3405.04,3401.1278906464577
3378.95,3404.9385284042355
3340.43,3381.4950957357883
3346.03,3337.3631960487364
3328.98,3346.6639112520215
3309.06,3326.574834579229
3338.54,3304.563995862007
3335.67,3336.9862423002724
3307.6,3329.568521640301
3322.4,3299.510061789751
3316.39,3320.093794090748
3301.89,3312.3502350103854
3297.76,3295.6301395654677
3310.08,3294.335121536255
3342.23,3306.7078156262637
3368.31,3336.618736245632
3367.79,3359.2708745002747
3347.67,3357.110270690918
3363.9,3339.72370839417
3358.27,3360.6172138863803
3334.5,3353.3004793441296
3317.62,3327.904295436144
3319.91,3314.7947500526907
3319.45,3318.3970372158287
3326.36,3315.5504178106785
3339.37,3321.0014491033553
3329.29,3333.665177493095
3354.89,3322.078301012516
3364.08,3349.5805766725543
3364.45,3357.5142672288416
3375.9,3355.9104830956458
3387.96,3369.801941115856
3364.49,3381.6827926826477
3373.21,3356.7156948804854
3365.68,3368.944451755285
3383.29,3361.6575556612015
3396.29,3378.0075474250316
3413.49,3390.1974735414983
3436.28,3405.488679094314
3435.8,3428.367014786005
3421.71,3426.704592907429
3440.93,3414.0255063486097
3421.44,3437.020213150978
3471.39,3415.3669090270996
3482.82,3466.4622987055777
3489.76,3474.7937133932114
3473.32,3478.6270925903323
3473.85,3465.921136209369
3446.22,3469.17122481823
3452.81,3441.892849082947
3458.44,3449.837661354542
3435.1,3455.0139705598353
3427.86,3428.2432755231857
3446.48,3423.894606349468
3453.96,3444.072105588913
3448.73,3447.5896228313445
3426.94,3440.7915921735766
3427.89,3421.003040676117
3458.1,3424.901158890724
3456.69,3454.9436775517465
3463.64,3448.4033942437172
3481.51,3455.5432378292085
3445.81,3475.725632715225
3449.61,3437.653416543603
3466.35,3445.711966075897
3450.05,3464.0518331444264
3461.98,3442.5254625940324
3489.6,3456.537094513178
3478.04,3484.8685045301913
3469.81,3468.7989306151867
3465.19,3462.662606091499
3436.76,3461.4508114814757
3456.05,3432.133033685684
3503.89,3453.783766750097
3514.05,3499.8616949295997
3517.46,3502.5248549938206
3505.14,3506.550486469269
3517.33,3498.1763331663606
3509.44,3512.690226566792
3514.57,3503.836491141319
3486.5,3508.6310970568657
3479.94,3480.8965321713686
3462.74,3476.3694395637513
3445.88,3460.2338594508174
3461.55,3442.352089345455
3466.79,3459.3680261278155
3431.26,3461.531555005312
3440.97,3423.4439684391023
3445.18,3438.321992504597
3446.72,3442.2140670758486
3439.75,3439.9933717656136
3426.58,3433.679183599949
3413.13,3421.4611949312684
3404.39,3409.3754329299923
3382.55,3401.3110784888268
3358.81,3378.945902240276
3352.53,3355.949975445271
3337.7,3351.2895453625915
3356.65,3334.993898841739
3385.38,3353.4772545689343
3399.19,3380.062875151634
3428.65,3389.635908913612
3409.97,3419.6658557832243
